name,last_name,type_document_id,document_id,email,phone,student_state,headquarter_name,amount_1_1,amount_1_10,amount_1_2,amount_1_3,amount_1_4,amount_1_5,amount_1_6,amount_1_7,amount_1_8,amount_1_9,amount_2_1,amount_2_10,amount_2_2,amount_2_3,amount_2_4,amount_2_5,amount_2_6,amount_2_7,amount_2_8,amount_2_9,amount_3_1,amount_3_10,amount_3_2,amount_3_3,amount_3_4,amount_3_5,amount_3_6,amount_3_7,amount_3_8,amount_3_9,concept_1_1,concept_1_10,concept_1_2,concept_1_3,concept_1_4,concept_1_5,concept_1_6,concept_1_7,concept_1_8,concept_1_9,concept_2_1,concept_2_10,concept_2_2,concept_2_3,concept_2_4,concept_2_5,concept_2_6,concept_2_7,concept_2_8,concept_2_9,concept_3_1,concept_3_10,concept_3_2,concept_3_3,concept_3_4,concept_3_5,concept_3_6,concept_3_7,concept_3_8,concept_3_9,payment_method_1_1,payment_method_1_10,payment_method_1_2,payment_method_1_3,payment_method_1_4,payment_method_1_5,payment_method_1_6,payment_method_1_7,payment_method_1_8,payment_method_1_9,payment_method_2_1,payment_method_2_10,payment_method_2_2,payment_method_2_3,payment_method_2_4,payment_method_2_5,payment_method_2_6,payment_method_2_7,payment_method_2_8,payment_method_2_9,payment_method_3_1,payment_method_3_10,payment_method_3_2,payment_method_3_3,payment_method_3_4,payment_method_3_5,payment_method_3_6,payment_method_3_7,payment_method_3_8,payment_method_3_9,receipt_number_1_1,receipt_number_1_10,receipt_number_1_2,receipt_number_1_3,receipt_number_1_4,receipt_number_1_5,receipt_number_1_6,receipt_number_1_7,receipt_number_1_8,receipt_number_1_9,receipt_number_2_1,receipt_number_2_10,receipt_number_2_2,receipt_number_2_3,receipt_number_2_4,receipt_number_2_5,receipt_number_2_6,receipt_number_2_7,receipt_number_2_8,receipt_number_2_9,receipt_number_3_1,receipt_number_3_10,receipt_number_3_2,receipt_number_3_3,receipt_number_3_4,receipt_number_3_5,receipt_number_3_6,receipt_number_3_7,receipt_number_3_8,receipt_number_3_9,state_1,state_2,state_3
Paco,Bayona,RC,63238057,rafaellopez@example.org,343-714-2983,active,Sede Ourense,239940.09,178610.24,125129.81,169259.29,111409.66,87102.01,249682.35,86345.74,275592.32,82002.63,273286.8,172088.5,133340.71,291290.17,153342.42,60700.45,210936.38,262575.11,202131.99,122483.35,195360.49,129495.61,75026.37,201116.79,157179.69,143477.82,260675.31,214627.98,97506.97,71737.72,Uniforme,Pago anticipado,Campamento,Uniforme,Matrícula,Material deportivo,Recargo por mora,Mensualidad,Matrícula,Matrícula,Mensualidad,Matrícula,Mensualidad,Descuento hermanos,Matrícula,Matrícula,Cuota adicional,Mensualidad,Matrícula,Uniforme,Uniforme,Uniforme,Pago anticipado,Material deportivo,Uniforme,Torneo interno,Uniforme,Campamento,Material deportivo,Pago anticipado,Tarjeta,Efectivo,Transferencia,Tarjeta,Daviplata,Efectivo,Daviplata,Nequi,Tarjeta,Nequi,Tarjeta,PSE,Daviplata,Nequi,PSE,PSE,Transferencia,PSE,Transferencia,PSE,Nequi,Tarjeta,Daviplata,Daviplata,Efectivo,Nequi,PSE,Tarjeta,Transferencia,Tarjeta,REC-269345,REC-927815,REC-297055,REC-442360,REC-430301,REC-347542,REC-805055,REC-350153,REC-402414,REC-524852,REC-270610,REC-918760,REC-888909,REC-255085,REC-642009,REC-322393,REC-913923,REC-995490,REC-160741,REC-571749,REC-159426,REC-560893,REC-478132,REC-866330,REC-456332,REC-251163,REC-535675,REC-996798,REC-265052,REC-813801,active,active,active
Caridad,Araujo,CC,63782042,dafne82@example.com,3299613177,suspended,Sede Suba,120405.0,281034.88,279877.48,273141.01,131044.34,116427.12,159741.82,266409.05,175292.78,215142.66,236040.44,208871.18,110026.65,248498.78,137966.33,210934.2,56593.91,106359.1,261008.11,202783.93,,,,,,,,,,,Pago anticipado,Cuota adicional,Cuota adicional,Pago anticipado,Matrícula,Torneo interno,Cuota adicional,Descuento hermanos,Cuota adicional,Pago anticipado,Torneo interno,Cuota adicional,Matrícula,Descuento hermanos,Uniforme,Descuento hermanos,Uniforme,Pago anticipado,Matrícula,Mensualidad,,,,,,,,,,,Nequi,Nequi,Daviplata,Daviplata,PSE,Daviplata,Tarjeta,Daviplata,Tarjeta,Nequi,PSE,Transferencia,Efectivo,Nequi,Tarjeta,Tarjeta,PSE,Tarjeta,PSE,Efectivo,,,,,,,,,,,REC-460303,REC-686125,REC-272739,REC-977547,REC-685355,REC-814777,REC-626846,REC-363518,REC-523085,REC-364636,REC-802959,REC-742715,REC-962705,REC-435344,REC-567164,REC-399360,REC-425148,REC-608011,REC-388687,REC-936659,,,,,,,,,,,expired,cancelled,
Gastón,Márquez,CE,64023778,rhurtado@example.org,+57 332 652 9090,active,Sede Badajoz,211727.5,217797.34,284801.17,258940.35,195876.72,184135.57,242693.63,233599.27,151193.87,220501.35,,,,,,,,,,,,,,,,,,,,,Recargo por mora,Torneo interno,Torneo interno,Descuento hermanos,Cuota adicional,Campamento,Material deportivo,Matrícula,Material deportivo,Uniforme,,,,,,,,,,,,,,,,,,,,,Tarjeta,Tarjeta,PSE,Nequi,Tarjeta,Tarjeta,Efectivo,Efectivo,Daviplata,PSE,,,,,,,,,,,,,,,,,,,,,REC-557676,REC-969580,REC-838629,REC-162901,REC-639543,REC-728345,REC-557466,REC-106680,REC-490874,REC-936926,,,,,,,,,,,,,,,,,,,,,active,,
Griselda,Calderon,CC,64830300,melisa86@example.net,318-823-5632,active,Sede Badajoz,286070.55,96785.67,245491.0,127565.23,164540.04,72791.19,124830.27,242584.72,286894.66,116445.93,282446.67,198161.26,225474.51,86681.77,51327.58,214410.99,73385.4,181125.23,293131.19,231215.97,,,,,,,,,,,Recargo por mora,Descuento hermanos,Mensualidad,Torneo interno,Recargo por mora,Material deportivo,Campamento,Descuento hermanos,Pago anticipado,Cuota adicional,Descuento hermanos,Recargo por mora,Cuota adicional,Uniforme,Pago anticipado,Descuento hermanos,Torneo interno,Material deportivo,Material deportivo,Torneo interno,,,,,,,,,,,PSE,Transferencia,Daviplata,Nequi,Tarjeta,PSE,Daviplata,Efectivo,PSE,Efectivo,Transferencia,Efectivo,Daviplata,Efectivo,Tarjeta,Transferencia,PSE,Nequi,Transferencia,PSE,,,,,,,,,,,REC-256786,REC-139731,REC-709201,REC-277024,REC-447907,REC-120711,REC-509901,REC-275906,REC-195787,REC-489723,REC-456432,REC-758723,REC-924277,REC-847635,REC-448441,REC-191733,REC-939248,REC-606912,REC-303025,REC-703745,,,,,,,,,,,active,active,
Ruy,Castro,CE,66581473,zacarias51@example.org,03471873851,active,Sede Albacete,288731.31,80641.22,281378.24,154415.87,93709.95,257217.47,84987.83,214975.27,205181.39,281360.18,195842.29,244831.17,191491.57,269263.23,138148.72,174248.34,184274.39,259725.48,81350.06,188566.95,254030.59,268648.68,298972.25,147182.4,66429.89,134051.46,72778.47,176035.99,94991.12,174461.98,Torneo interno,Torneo interno,Uniforme,Material deportivo,Uniforme,Mensualidad,Recargo por mora,Matrícula,Material deportivo,Descuento hermanos,Material deportivo,Pago anticipado,Uniforme,Uniforme,Descuento hermanos,Matrícula,Campamento,Mensualidad,Cuota adicional,Recargo por mora,Torneo interno,Pago anticipado,Torneo interno,Matrícula,Cuota adicional,Cuota adicional,Torneo interno,Torneo interno,Mensualidad,Matrícula,Nequi,PSE,PSE,PSE,PSE,Daviplata,Tarjeta,Tarjeta,Efectivo,Efectivo,Tarjeta,Efectivo,Tarjeta,Transferencia,Daviplata,Tarjeta,Efectivo,PSE,Transferencia,Nequi,Nequi,Nequi,Transferencia,Tarjeta,Transferencia,PSE,Daviplata,Nequi,Daviplata,Tarjeta,REC-115966,REC-442147,REC-459864,REC-326837,REC-202267,REC-166057,REC-735949,REC-685023,REC-208795,REC-733310,REC-915720,REC-761767,REC-973965,REC-450084,REC-996982,REC-829973,REC-297594,REC-140141,REC-366852,REC-743629,REC-704122,REC-841575,REC-615669,REC-819454,REC-498759,REC-294645,REC-143837,REC-504444,REC-235880,REC-748698,expired,active,active
Ángela,Guzmán,TI,67061186,nereidaelorza@example.com,3319461833,inactive,Sede Centro,79471.3,100787.73,69954.51,206107.85,214304.95,201976.99,113787.87,118184.84,78088.79,293668.02,245791.96,230630.93,151008.47,260511.89,111779.77,278315.66,215127.62,107502.02,97830.55,89408.59,,,,,,,,,,,Material deportivo,Recargo por mora,Campamento,Uniforme,Mensualidad,Recargo por mora,Campamento,Torneo interno,Cuota adicional,Matrícula,Material deportivo,Campamento,Recargo por mora,Material deportivo,Uniforme,Torneo interno,Mensualidad,Material deportivo,Uniforme,Cuota adicional,,,,,,,,,,,Daviplata,PSE,Transferencia,PSE,Efectivo,Efectivo,Daviplata,Daviplata,Nequi,Nequi,Daviplata,PSE,Tarjeta,Nequi,Nequi,Nequi,Nequi,Tarjeta,Nequi,Transferencia,,,,,,,,,,,REC-475806,REC-782001,REC-977577,REC-666571,REC-323802,REC-826323,REC-220382,REC-737226,REC-683262,REC-621001,REC-289292,REC-184372,REC-953868,REC-848647,REC-613397,REC-443039,REC-527439,REC-870076,REC-881958,REC-545335,,,,,,,,,,,active,active,
Casandra,Castejón,CC,69549527,sosimopinilla@example.net,3131102499,active,Sede Norte,148320.89,227816.03,58564.74,298963.89,138963.64,161931.8,134555.3,126148.95,67313.48,117593.03,,,,,,,,,,,,,,,,,,,,,Torneo interno,Pago anticipado,Material deportivo,Recargo por mora,Torneo interno,Mensualidad,Campamento,Campamento,Pago anticipado,Pago anticipado,,,,,,,,,,,,,,,,,,,,,Nequi,Nequi,Transferencia,Transferencia,Nequi,Transferencia,PSE,Tarjeta,Daviplata,Efectivo,,,,,,,,,,,,,,,,,,,,,REC-300311,REC-112077,REC-568430,REC-733140,REC-166422,REC-974155,REC-950133,REC-633888,REC-512761,REC-897665,,,,,,,,,,,,,,,,,,,,,expired,,
Julio,Batalla,TI,70291817,xiomaramiranda@example.org,+57 300 877 3615,active,Sede Chapinero,277663.45,217287.64,188701.81,224813.89,91549.24,259537.26,261208.91,115706.86,224936.32,89551.45,210253.05,242206.43,284957.37,114486.02,194127.91,174728.07,74351.51,109777.66,205867.69,212848.73,73957.56,90570.0,144730.69,94019.36,229709.17,60976.21,78797.32,256521.08,233646.54,209691.76,Mensualidad,Descuento hermanos,Cuota adicional,Matrícula,Cuota adicional,Material deportivo,Descuento hermanos,Torneo interno,Cuota adicional,Descuento hermanos,Campamento,Recargo por mora,Cuota adicional,Material deportivo,Descuento hermanos,Campamento,Matrícula,Descuento hermanos,Cuota adicional,Uniforme,Recargo por mora,Mensualidad,Torneo interno,Material deportivo,Mensualidad,Campamento,Uniforme,Pago anticipado,Material deportivo,Descuento hermanos,Transferencia,Transferencia,Nequi,PSE,PSE,PSE,Transferencia,Nequi,Daviplata,PSE,Nequi,Tarjeta,Daviplata,PSE,Transferencia,PSE,Efectivo,Daviplata,PSE,Transferencia,PSE,PSE,Efectivo,Transferencia,Transferencia,Efectivo,Transferencia,Efectivo,Transferencia,Nequi,REC-679811,REC-773693,REC-185390,REC-114286,REC-219185,REC-340474,REC-815339,REC-775143,REC-994498,REC-333886,REC-207786,REC-625986,REC-481128,REC-900216,REC-287890,REC-409967,REC-424578,REC-259804,REC-847385,REC-237570,REC-728700,REC-144241,REC-320449,REC-122013,REC-357912,REC-397901,REC-762002,REC-177312,REC-494172,REC-754227,active,active,active
Ariel,Mendez,RC,70467027,trini05@example.org,+57 319 980 8025,active,Sede Chapinero,230738.4,142601.5,104305.45,268628.03,204196.96,255150.56,112953.24,210459.93,239788.27,257992.44,189201.87,224386.57,58555.82,236700.99,51918.3,82327.72,296932.58,201405.89,162261.31,232768.92,,,,,,,,,,,Torneo interno,Matrícula,Uniforme,Torneo interno,Cuota adicional,Descuento hermanos,Material deportivo,Matrícula,Mensualidad,Cuota adicional,Matrícula,Cuota adicional,Matrícula,Uniforme,Mensualidad,Pago anticipado,Campamento,Uniforme,Mensualidad,Descuento hermanos,,,,,,,,,,,Transferencia,PSE,Transferencia,Efectivo,PSE,Nequi,Daviplata,Nequi,Daviplata,Efectivo,Tarjeta,Daviplata,Nequi,Nequi,Daviplata,PSE,Efectivo,Transferencia,Tarjeta,Nequi,,,,,,,,,,,REC-607419,REC-767359,REC-939554,REC-902796,REC-332066,REC-447635,REC-894730,REC-574822,REC-560320,REC-648100,REC-195856,REC-617839,REC-127264,REC-396759,REC-377496,REC-484930,REC-454626,REC-762937,REC-576954,REC-383608,,,,,,,,,,,expired,active,
Teodora,Campillo,RC,70887034,lgilabert@example.net,+57 347 813 9850,active,Sede Albacete,244141.48,59647.98,95871.92,246480.84,125743.68,172184.71,172206.51,132282.02,228035.76,171404.14,,,,,,,,,,,,,,,,,,,,,Mensualidad,Uniforme,Recargo por mora,Campamento,Matrícula,Matrícula,Descuento hermanos,Uniforme,Material deportivo,Material deportivo,,,,,,,,,,,,,,,,,,,,,Nequi,Tarjeta,Transferencia,Nequi,Tarjeta,Tarjeta,PSE,Nequi,Nequi,PSE,,,,,,,,,,,,,,,,,,,,,REC-559131,REC-836423,REC-293365,REC-936061,REC-983765,REC-322645,REC-823862,REC-960231,REC-875379,REC-425177,,,,,,,,,,,,,,,,,,,,,active,,
Ruy,Segarra,CC,71662963,juan-manuelchaparro@example.org,+57 324 180 5803,active,Sede Ourense,108141.09,248889.27,103801.03,228403.05,66353.19,273960.41,66164.44,117283.36,229391.13,183839.98,219381.35,166655.05,66768.51,93786.25,265422.07,243768.01,143405.85,298678.65,91723.88,229588.96,,,,,,,,,,,Recargo por mora,Descuento hermanos,Uniforme,Cuota adicional,Mensualidad,Uniforme,Mensualidad,Cuota adicional,Descuento hermanos,Uniforme,Pago anticipado,Recargo por mora,Descuento hermanos,Mensualidad,Descuento hermanos,Material deportivo,Cuota adicional,Campamento,Recargo por mora,Cuota adicional,,,,,,,,,,,Daviplata,Daviplata,PSE,PSE,Nequi,PSE,Tarjeta,Efectivo,Nequi,Efectivo,PSE,Nequi,PSE,Efectivo,Transferencia,Tarjeta,Transferencia,Transferencia,PSE,Nequi,,,,,,,,,,,REC-251239,REC-922312,REC-831073,REC-901494,REC-364253,REC-255063,REC-570253,REC-559140,REC-960962,REC-733435,REC-861512,REC-471128,REC-401153,REC-269960,REC-392843,REC-719110,REC-886758,REC-532446,REC-138185,REC-363643,,,,,,,,,,,expired,active,
Ester,Cabo,TI,73560289,garcesantonia@example.com,349-477-3749,active,Sede Sur,117902.84,59998.46,157534.09,281887.28,269046.73,262441.41,281674.45,147333.2,150329.66,66287.45,61433.1,86078.83,271271.0,241073.52,84258.64,274362.85,192314.49,184909.64,203133.58,64191.26,62371.13,55668.67,240784.87,194617.25,128046.42,141461.8,78662.32,247836.36,268916.58,222648.89,Uniforme,Pago anticipado,Descuento hermanos,Cuota adicional,Cuota adicional,Campamento,Cuota adicional,Campamento,Cuota adicional,Torneo interno,Material deportivo,Uniforme,Campamento,Campamento,Pago anticipado,Pago anticipado,Uniforme,Torneo interno,Mensualidad,Uniforme,Material deportivo,Descuento hermanos,Mensualidad,Uniforme,Torneo interno,Uniforme,Cuota adicional,Campamento,Matrícula,Cuota adicional,Transferencia,Transferencia,Transferencia,Efectivo,Transferencia,Daviplata,Transferencia,Nequi,Efectivo,Nequi,Efectivo,Tarjeta,Tarjeta,Transferencia,PSE,Transferencia,PSE,Nequi,Daviplata,Daviplata,Transferencia,Nequi,PSE,Tarjeta,Daviplata,Transferencia,PSE,Nequi,Nequi,Tarjeta,REC-945802,REC-635780,REC-846878,REC-548793,REC-114221,REC-314338,REC-996719,REC-208186,REC-701546,REC-976193,REC-803428,REC-864226,REC-120917,REC-124416,REC-483437,REC-629399,REC-946725,REC-253214,REC-974287,REC-572114,REC-719032,REC-165814,REC-396637,REC-896814,REC-339863,REC-562107,REC-900774,REC-696117,REC-963428,REC-749720,active,active,active
Lara,Gargallo,TI,73655158,riberasaturnino@example.com,308-669-1982,active,Sede Ourense,68160.36,163439.12,282484.64,64420.58,156600.34,123362.8,102762.72,298647.98,114013.07,142003.68,277168.72,110163.34,120693.5,137829.1,54690.88,212531.65,119880.79,247605.92,68262.2,155503.26,258117.31,184275.26,100956.68,194246.74,115352.76,70061.65,236008.5,284566.01,63298.68,89432.9,Uniforme,Material deportivo,Pago anticipado,Matrícula,Uniforme,Descuento hermanos,Torneo interno,Torneo interno,Uniforme,Campamento,Matrícula,Mensualidad,Cuota adicional,Descuento hermanos,Uniforme,Mensualidad,Uniforme,Matrícula,Descuento hermanos,Campamento,Torneo interno,Torneo interno,Torneo interno,Campamento,Cuota adicional,Matrícula,Recargo por mora,Campamento,Cuota adicional,Campamento,Transferencia,Daviplata,Efectivo,Tarjeta,Transferencia,Transferencia,Efectivo,PSE,PSE,Tarjeta,Efectivo,PSE,Efectivo,Efectivo,Efectivo,Efectivo,Transferencia,Tarjeta,Tarjeta,Nequi,PSE,PSE,Transferencia,PSE,Transferencia,Transferencia,Transferencia,Daviplata,Efectivo,Efectivo,REC-979888,REC-121113,REC-911172,REC-245822,REC-157489,REC-437731,REC-735527,REC-560452,REC-122300,REC-244255,REC-830492,REC-636331,REC-587648,REC-919505,REC-734068,REC-679906,REC-476490,REC-591355,REC-188780,REC-906130,REC-600950,REC-156686,REC-826103,REC-222986,REC-413701,REC-725323,REC-151500,REC-998694,REC-476138,REC-952279,active,active,expired
Perla,Mate,RC,75793759,marigracia@example.org,3330665424,active,Sede Albacete,289193.74,273230.7,293657.24,102279.41,99985.93,69645.59,196162.85,139776.5,166155.89,120519.59,,,,,,,,,,,,,,,,,,,,,Cuota adicional,Mensualidad,Recargo por mora,Matrícula,Torneo interno,Pago anticipado,Matrícula,Material deportivo,Descuento hermanos,Descuento hermanos,,,,,,,,,,,,,,,,,,,,,Transferencia,Efectivo,Efectivo,Daviplata,Tarjeta,Daviplata,Nequi,Transferencia,PSE,Nequi,,,,,,,,,,,,,,,,,,,,,REC-846950,REC-669213,REC-594898,REC-718738,REC-265296,REC-546860,REC-600315,REC-632541,REC-407757,REC-514502,,,,,,,,,,,,,,,,,,,,,expired,,
Leonardo,Sabater,CC,75802771,maciasjoel@example.com,3204496488,active,Sede Centro,50383.99,192058.29,173844.48,59154.88,172107.91,64422.79,297565.89,205616.63,251913.95,233739.58,,,,,,,,,,,,,,,,,,,,,Material deportivo,Descuento hermanos,Matrícula,Mensualidad,Torneo interno,Torneo interno,Pago anticipado,Uniforme,Descuento hermanos,Pago anticipado,,,,,,,,,,,,,,,,,,,,,Transferencia,Efectivo,PSE,PSE,Tarjeta,Daviplata,PSE,Tarjeta,Transferencia,Transferencia,,,,,,,,,,,,,,,,,,,,,REC-308972,REC-909894,REC-830066,REC-502827,REC-148250,REC-444489,REC-984146,REC-173843,REC-571691,REC-765513,,,,,,,,,,,,,,,,,,,,,cancelled,,
Victoria,Prada,TI,77144075,blanesfernanda@example.com,347-143-8147,active,Sede Chapinero,72964.53,227153.53,257953.26,122831.89,227666.7,97241.55,85270.55,105407.67,290594.81,286520.5,,,,,,,,,,,,,,,,,,,,,Campamento,Matrícula,Cuota adicional,Material deportivo,Matrícula,Uniforme,Pago anticipado,Campamento,Torneo interno,Recargo por mora,,,,,,,,,,,,,,,,,,,,,Efectivo,Daviplata,Tarjeta,PSE,PSE,Transferencia,Nequi,Nequi,Efectivo,PSE,,,,,,,,,,,,,,,,,,,,,REC-464544,REC-730566,REC-360801,REC-102796,REC-566537,REC-358803,REC-968950,REC-575023,REC-989361,REC-500177,,,,,,,,,,,,,,,,,,,,,expired,,
María José,Nieto,CE,77187530,marintrinidad@example.org,3289576908,active,Sede Albacete,178578.6,247162.84,139581.77,96666.17,176100.97,266945.35,196851.37,164888.97,156507.31,231756.14,68567.68,279614.29,133672.22,235037.52,279597.71,82691.99,184890.47,113735.4,253652.41,209625.15,,,,,,,,,,,Torneo interno,Recargo por mora,Matrícula,Torneo interno,Uniforme,Campamento,Campamento,Matrícula,Torneo interno,Pago anticipado,Recargo por mora,Uniforme,Torneo interno,Pago anticipado,Campamento,Uniforme,Uniforme,Torneo interno,Campamento,Descuento hermanos,,,,,,,,,,,Tarjeta,Nequi,Daviplata,Efectivo,Efectivo,PSE,Efectivo,Nequi,Tarjeta,Nequi,Nequi,Transferencia,Nequi,PSE,Efectivo,Daviplata,Daviplata,PSE,Nequi,Daviplata,,,,,,,,,,,REC-872444,REC-836005,REC-446005,REC-507765,REC-672419,REC-500305,REC-521906,REC-228477,REC-951957,REC-428214,REC-420459,REC-908623,REC-669113,REC-654345,REC-563997,REC-447870,REC-880350,REC-822118,REC-556475,REC-399435,,,,,,,,,,,active,cancelled,
Maricruz,Huertas,CE,78885632,maria-dolores87@example.net,+57 328 615 4629,active,Sede Centro,190422.13,239455.36,170850.77,222923.68,121627.5,216685.96,61356.89,152580.13,244927.55,140645.68,,,,,,,,,,,,,,,,,,,,,Torneo interno,Uniforme,Cuota adicional,Matrícula,Campamento,Recargo por mora,Cuota adicional,Descuento hermanos,Cuota adicional,Cuota adicional,,,,,,,,,,,,,,,,,,,,,Daviplata,Efectivo,PSE,Nequi,Nequi,Tarjeta,PSE,PSE,Daviplata,Transferencia,,,,,,,,,,,,,,,,,,,,,REC-952064,REC-653426,REC-414505,REC-702623,REC-832369,REC-515276,REC-312500,REC-889380,REC-509370,REC-273758,,,,,,,,,,,,,,,,,,,,,active,,
Zaira,Criado,CE,79967676,verdejocecilio@example.org,(320) 2351868,active,Sede Sur,117521.42,179824.54,209702.42,250671.52,297851.32,192232.78,284841.45,177319.9,98689.22,256966.37,104894.71,280780.12,148930.99,114571.49,237904.63,248716.19,218015.21,227983.06,116002.07,211378.98,244757.9,146410.82,294564.76,202318.09,176403.91,226407.29,275775.89,191418.22,95154.27,143470.89,Cuota adicional,Cuota adicional,Uniforme,Uniforme,Descuento hermanos,Matrícula,Recargo por mora,Descuento hermanos,Descuento hermanos,Matrícula,Material deportivo,Pago anticipado,Descuento hermanos,Torneo interno,Campamento,Cuota adicional,Campamento,Matrícula,Cuota adicional,Uniforme,Descuento hermanos,Material deportivo,Matrícula,Campamento,Pago anticipado,Cuota adicional,Descuento hermanos,Material deportivo,Material deportivo,Matrícula,PSE,PSE,Nequi,Tarjeta,Tarjeta,Tarjeta,Tarjeta,Nequi,Daviplata,Transferencia,Tarjeta,PSE,Nequi,Daviplata,Efectivo,Efectivo,Tarjeta,Tarjeta,Tarjeta,Transferencia,Nequi,Nequi,Transferencia,PSE,Daviplata,PSE,PSE,Transferencia,PSE,Transferencia,REC-787123,REC-616174,REC-261293,REC-116176,REC-613935,REC-587144,REC-149712,REC-655948,REC-535384,REC-137122,REC-337338,REC-567966,REC-897467,REC-195064,REC-823024,REC-481406,REC-305379,REC-556761,REC-876539,REC-287928,REC-921135,REC-257395,REC-632863,REC-634874,REC-402434,REC-984524,REC-742167,REC-933318,REC-275844,REC-179528,cancelled,active,active
Noelia,Flor,CE,81249799,amadorarteaga@example.org,03169084065,active,Sede Badajoz,132656.83,254050.16,196558.82,144598.55,254919.54,233446.76,71168.13,286711.61,168051.84,67827.59,,,,,,,,,,,,,,,,,,,,,Mensualidad,Descuento hermanos,Uniforme,Descuento hermanos,Recargo por mora,Pago anticipado,Mensualidad,Recargo por mora,Pago anticipado,Cuota adicional,,,,,,,,,,,,,,,,,,,,,Transferencia,Daviplata,Transferencia,Efectivo,Tarjeta,Efectivo,Daviplata,Efectivo,Nequi,Efectivo,,,,,,,,,,,,,,,,,,,,,REC-352099,REC-996514,REC-232857,REC-277066,REC-891053,REC-732105,REC-286959,REC-364182,REC-895190,REC-645074,,,,,,,,,,,,,,,,,,,,,active,,
Lola,Mas,CE,81621574,griselda65@example.com,(340) 5821419,active,Sede Suba,71410.85,170478.02,63336.83,69234.83,230721.33,86357.43,167212.09,224086.34,104582.74,59554.92,107400.37,199079.57,257266.93,155118.78,238308.69,169289.68,140796.84,242853.25,68091.19,239049.43,,,,,,,,,,,Descuento hermanos,Mensualidad,Mensualidad,Uniforme,Torneo interno,Cuota adicional,Matrícula,Mensualidad,Pago anticipado,Pago anticipado,Torneo interno,Campamento,Matrícula,Descuento hermanos,Recargo por mora,Recargo por mora,Descuento hermanos,Uniforme,Descuento hermanos,Mensualidad,,,,,,,,,,,Efectivo,Nequi,Daviplata,Tarjeta,Efectivo,Transferencia,Daviplata,Tarjeta,Daviplata,Transferencia,Nequi,PSE,Efectivo,Tarjeta,PSE,Daviplata,Transferencia,Transferencia,Daviplata,PSE,,,,,,,,,,,REC-425531,REC-469218,REC-635178,REC-461584,REC-611915,REC-680232,REC-250517,REC-940619,REC-284427,REC-407673,REC-433883,REC-602979,REC-332831,REC-847194,REC-852862,REC-345075,REC-261448,REC-171753,REC-808791,REC-488142,,,,,,,,,,,active,active,
Cristina,Ariño,RC,82238741,riusgema@example.net,(301) 7523941,active,Sede Cáceres,163475.29,176887.83,232132.51,250988.94,202024.38,61020.51,205068.64,219305.03,215476.44,252198.96,265651.05,224885.71,157924.39,51001.15,137129.37,54373.57,271210.74,248153.58,234156.4,132772.51,294662.96,286706.98,265150.5,179350.81,236230.94,247950.48,239843.23,114190.28,283044.86,297849.71,Matrícula,Material deportivo,Campamento,Recargo por mora,Mensualidad,Torneo interno,Matrícula,Matrícula,Descuento hermanos,Uniforme,Uniforme,Descuento hermanos,Campamento,Material deportivo,Recargo por mora,Uniforme,Recargo por mora,Recargo por mora,Campamento,Material deportivo,Recargo por mora,Recargo por mora,Material deportivo,Material deportivo,Recargo por mora,Uniforme,Descuento hermanos,Campamento,Campamento,Mensualidad,Efectivo,Nequi,PSE,Daviplata,Transferencia,Nequi,Tarjeta,Daviplata,Efectivo,PSE,Transferencia,Efectivo,Daviplata,Daviplata,Nequi,Daviplata,PSE,PSE,Tarjeta,Transferencia,Nequi,Transferencia,Efectivo,Tarjeta,Transferencia,Nequi,PSE,PSE,Efectivo,Tarjeta,REC-286340,REC-205255,REC-626347,REC-886267,REC-843265,REC-807819,REC-816721,REC-926478,REC-936403,REC-601463,REC-375682,REC-330360,REC-500959,REC-207750,REC-262955,REC-783351,REC-479596,REC-383306,REC-555834,REC-374302,REC-974195,REC-393712,REC-923743,REC-922178,REC-204604,REC-110856,REC-970208,REC-185214,REC-240571,REC-679016,expired,active,cancelled
